,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
1922,Sky Mountain Charter,Sonoma County Charter,NC,NC,92.92%,92.04%,19.05%,9.62%,0.00,0,84.25%,4.11%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1923,Smythe Academy of Arts and Sciences,Twin Rivers Unified,NC,NC,100.00%,100.00%,8.57%,5.71%,0.00,0,94.02%,2.56%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.28%,NC,NC,100.00%,NC,NC,NC,NC,NC
1924,Snelling-Merced Falls Union Elementary,Merced County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1925,Snowline Joint Unified,Desert Mountain,84.44%,1.03%,98.48%,98.03%,9.85%,4.95%,0.24,0,44.55%,24.72%,3.57%,83.91%,3.45%,NC,NC,NC,NC,NC,NC,99.75%,0,0,97.14%,NC,100.00%,NC,NC,NC
1926,Sol Aureus College Preparatory,Sacramento City Unified,NC,NC,100.00%,100.00%,9.68%,6.45%,0.00,0,97.14%,2.86%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1927,Solana Beach Elementary,North Coastal,NC,NC,96.24%,96.28%,45.85%,38.65%,0.00,0,73.09%,5.82%,2.18%,25.00%,43.75%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1928,Solano County Office of Education,Solano County,NC,NC,90.63%,87.50%,4.60%,2.38%,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,98.78%,NC,100.00%,3.57%,25.00%,82.14%
1929,Soledad Unified,Monterey County,73.33%,2.00%,92.75%,92.51%,8.59%,5.74%,NC,0,69.50%,12.29%,1.06%,66.15%,20.00%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1930,Soleil Academy Charter,Los Angeles County Charter,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1931,Solvang Elementary,Santa Barbara County,NC,NC,98.31%,98.31%,27.59%,34.48%,0.00,0,75.00%,4.69%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1932,Somis Union,Ventura County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,59.38%,25.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1933,Sonoma Charter,Sonoma County,NC,NC,100.00%,100.00%,18.52%,11.11%,0.00,0,91.18%,0.00%,5.88%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1934,Sonoma County Office of Education,Sonoma County,12.00%,0.00%,60.75%,61.83%,17.70%,5.22%,NC,0,6.90%,5.17%,86.21%,NC,NC,NC,34.78%,NC,45.45%,NC,38.10%,100.00%,0,0,100.00%,NC,100.00%,22.58%,58.06%,100.00%
1935,Sonoma Mountain Elementary,Sonoma County,NC,NC,95.00%,95.00%,36.84%,31.58%,0.00,0,88.57%,0.00%,2.86%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1936,Sonoma Valley Unified,Sonoma County,76.09%,1.27%,94.61%,94.07%,11.40%,6.30%,0.42,0,43.34%,14.16%,3.75%,94.59%,0.00%,NC,NC,NC,NC,NC,NC,99.72%,0,0,100.00%,NC,99.39%,51.28%,94.87%,97.44%
1937,Sonora Elementary,Tuolumne County,NC,NC,91.43%,91.43%,17.19%,20.31%,NC,0,37.36%,9.89%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.18%,0,0,NC,NC,NC,NC,NC,NC
1938,Sonora Union High,Tuolumne County,87.88%,9.30%,69.23%,69.23%,11.11%,0.00%,2.20,0,25.35%,38.03%,9.86%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1939,Soquel Union Elementary,North Santa Cruz County,NC,NC,95.18%,93.98%,25.32%,17.31%,NC,0,73.45%,17.70%,0.88%,58.33%,19.44%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1940,Soulsbyville Elementary,Tuolumne County,NC,NC,98.41%,96.83%,12.90%,13.11%,0.00,0,46.58%,12.33%,1.37%,NC,NC,NC,NC,NC,NC,NC,NC,98.99%,0,1,NC,NC,NC,NC,NC,NC
1941,South Bay Union,South County,NC,NC,96.45%,96.48%,6.90%,5.48%,0.00,0,64.18%,23.45%,0.48%,59.19%,36.77%,77.78%,75.44%,76.92%,75.00%,75.00%,78.43%,99.91%,0,0,100.00%,100.00%,NC,NC,NC,NC
1942,South Bay Union Elementary,Humboldt-Del Norte,NC,NC,97.14%,97.14%,20.59%,8.82%,0.00,0,80.30%,9.09%,3.03%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,1,1,100.00%,NC,NC,NC,NC,NC
1943,South Fork Union,Kern County Consortium,NC,NC,100.00%,100.00%,NC,NC,0.00,0,65.38%,0.00%,3.85%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1944,South Monterey County Joint Union High,Monterey County,77.78%,2.06%,80.65%,79.03%,18.00%,4.08%,2.87,1,76.70%,10.23%,0.57%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,50.00%,77.78%,100.00%
1945,South Pasadena Unified,West San Gabriel Valley,72.41%,NC,89.74%,88.46%,39.52%,33.33%,0.00,0,53.30%,11.26%,6.87%,34.15%,51.22%,NC,NC,NC,NC,NC,NC,99.78%,0,1,100.00%,NC,97.25%,NC,NC,NC
1946,South San Francisco Unified,San Mateo County,65.15%,4.65%,96.88%,96.88%,18.71%,18.49%,0.84,1,46.64%,25.41%,1.81%,96.50%,1.40%,NC,82.22%,NC,84.09%,NC,80.43%,99.86%,0,1,100.00%,NC,100.00%,NC,NC,NC
1947,South Sutter Charter,Sonoma County Charter,86.36%,0.00%,92.06%,92.06%,18.97%,10.34%,0.00,0,89.14%,2.29%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,98.04%,NC,NC,NC
1948,South Whittier Elementary,Whittier Area Co-op,NC,NC,98.03%,98.03%,9.40%,6.38%,0.00,0,67.09%,23.98%,0.51%,59.52%,39.29%,NC,78.26%,NC,65.22%,NC,73.91%,99.51%,0,0,100.00%,100.00%,NC,NC,NC,NC
1949,Southern Humboldt Joint Unified,Humboldt-Del Norte,NC,NC,93.10%,93.10%,27.78%,7.41%,4.46,1,67.05%,10.23%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,71.43%,NC,NC,NC
1950,Southern Kern Unified,Kern County Consortium,82.50%,1.96%,87.10%,86.80%,9.09%,5.74%,NC,0,33.53%,35.27%,1.36%,20.00%,47.50%,NC,NC,NC,NC,NC,NC,99.86%,0,0,100.00%,NC,100.00%,NC,NC,NC
1951,Southern Trinity Joint Unified,Trinity County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1952,Southside Elementary,San Benito County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1953,Spencer Valley Elementary,North Inland,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1954,Spreckels Union Elementary,Monterey County,NC,NC,96.23%,96.23%,15.69%,11.76%,0.00,0,69.49%,3.39%,1.69%,NC,NC,NC,NC,NC,NC,NC,NC,98.77%,0,0,100.00%,NC,NC,NC,NC,NC
1955,Spring Creek Matanzas Charter,Sonoma County,NC,NC,95.95%,95.95%,19.72%,18.31%,0.00,0,59.83%,34.19%,0.85%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1956,Springville Union Elementary,Tulare County,NC,NC,94.74%,94.74%,NC,NC,0.00,0,79.17%,8.33%,8.33%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1957,St. HOPE Public School 7,El Dorado County Charter,NC,NC,100.00%,100.00%,10.53%,21.05%,2.94,1,93.33%,1.33%,2.67%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1958,Standard Elementary,Kern County Consortium,NC,NC,96.17%,96.93%,6.77%,3.95%,0.63,0,48.80%,20.06%,0.60%,28.85%,57.69%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1959,Stanislaus Alternative Charter,Stanislaus County,NC,4.00%,NC,NC,NC,NC,0.00,0,17.39%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1960,Stanislaus County Office of Education,Stanislaus County,15.00%,NC,86.43%,79.40%,6.98%,4.43%,NC,NC,NC,NC,NC,NC,NC,66.67%,62.90%,74.36%,58.06%,75.00%,70.97%,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1961,Stanislaus Union Elementary,Stanislaus County,NC,NC,97.50%,97.50%,12.82%,10.77%,NC,0,59.13%,16.10%,2.17%,48.15%,48.15%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1962,Steele Canyon High,East County,90.20%,0.00%,97.73%,97.73%,34.88%,9.30%,0.00,0,85.71%,2.96%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,99.25%,53.85%,76.92%,88.46%
1963,Stella Elementary Charter Academy,Los Angeles Unified,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1964,Stella Middle Charter Academy,Los Angeles Unified,NC,NC,98.61%,98.61%,5.63%,5.63%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1965,Stellar Charter,Shasta County,NC,NC,88.89%,88.89%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1966,Stockton Collegiate International Elementary,El Dorado County Charter,NC,NC,100.00%,100.00%,26.09%,17.39%,0.00,0,90.91%,9.09%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1967,Stockton Collegiate International Secondary,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,82.76%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1968,Stockton Early College Academy,Stockton City Unified,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1969,Stockton Unified,Stockton City Unified,43.68%,0.46%,94.64%,93.72%,7.67%,6.00%,0.93,0,54.41%,30.35%,4.64%,37.23%,52.18%,74.68%,73.26%,70.24%,67.95%,77.33%,72.44%,99.73%,0,0,100.00%,82.52%,97.16%,NC,NC,NC
1970,Stone Bridge,Napa County,NC,NC,84.21%,78.95%,NC,NC,0.00,0,96.43%,3.57%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1971,Stone Corral Elementary,Tulare County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1972,Stony Creek Joint Unified,Glenn County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1973,Strathmore Union Elementary,Tulare County,NC,NC,100.00%,100.00%,12.20%,7.32%,0.00,0,81.67%,11.67%,1.67%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1974,Success One!,Glenn County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1975,Sulphur Springs Union,Santa Clarita Valley,NC,NC,98.65%,97.97%,22.37%,18.62%,NC,0,60.31%,37.11%,0.17%,31.67%,68.33%,94.87%,83.82%,94.44%,81.82%,85.71%,83.58%,99.70%,0,0,100.00%,95.56%,NC,NC,NC,NC
1976,Summerville Elementary,Tuolumne County,NC,NC,91.67%,91.67%,13.64%,11.36%,NC,0,35.09%,15.79%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.75%,0,0,NC,NC,NC,NC,NC,NC
1977,Summerville Union High,Tuolumne County,NC,NC,75.00%,100.00%,NC,NC,0.00,0,42.59%,18.52%,9.26%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1978,Summit Charter Academy,Tulare County,NC,NC,94.32%,94.32%,4.82%,6.02%,0.00,0,51.97%,15.79%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,100.00%,NC,100.00%,NC,NC,NC
1979,Summit Leadership Academy-High Desert,El Dorado County Charter,NC,NC,0.00%,0.00%,NC,NC,0.00,0,42.22%,24.44%,2.22%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1980,Summit Preparatory Charter,Los Angeles Unified,NC,NC,100.00%,97.37%,7.89%,5.41%,0.00,0,88.89%,2.78%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1981,Summit Preparatory Charter High,San Mateo County,NC,NC,80.00%,80.00%,NC,NC,0.00,0,97.18%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.88%,0,0,NC,NC,100.00%,NC,NC,NC
1982,Summit Public School K2,El Dorado County Charter,NC,NC,83.33%,77.78%,NC,NC,0.00,0,95.45%,0.00%,4.55%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,90.00%,NC,NC,NC
1983,Summit Public School: Denali,El Dorado County Charter,NC,NC,89.39%,92.42%,50.85%,34.43%,0.00,0,93.02%,1.16%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1984,Summit Public School: Rainier,El Dorado County Charter,80.00%,NC,100.00%,100.00%,NC,NC,0.00,0,80.39%,3.92%,1.96%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
1985,Summit Public School: Shasta,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,86.21%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1986,Summit Public School: Tahoma,El Dorado County Charter,NC,NC,92.86%,92.86%,NC,NC,0.00,0,96.36%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1987,Summit Public School: Tamalpais,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,96.67%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1988,Sundale Union Elementary,Tulare County,NC,NC,100.00%,100.00%,10.00%,5.00%,NC,0,70.83%,16.67%,4.17%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1989,Sunnyside Union Elementary,Tulare County,NC,NC,94.12%,94.12%,NC,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1990,Sunnyvale,Santa Clara Area II,NC,NC,98.06%,97.84%,14.95%,15.20%,0.00,0,65.92%,20.00%,0.80%,12.26%,57.42%,NC,75.00%,NC,75.00%,NC,79.49%,99.90%,0,2,100.00%,92.31%,NC,NC,NC,NC
1991,Sunol Glen Unified,Tri-Valley,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1992,Sunridge Charter,Sonoma County,NC,NC,92.86%,92.86%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1993,Sunrise Middle,El Dorado County Charter,NC,NC,100.00%,100.00%,9.38%,6.25%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1994,Superior Street Elementary,Los Angeles Unified,NC,NC,93.02%,93.02%,30.00%,27.50%,0.00,0,70.83%,16.67%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1995,Surprise Valley Joint Unified,Modoc County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1996,Susanville Elementary,Lassen County,NC,NC,96.20%,93.67%,11.84%,8.11%,1.27,0,64.55%,2.73%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.43%,0,0,NC,NC,NC,NC,NC,NC
1997,Sutter Peak Charter Academy,El Dorado County Charter,NC,NC,96.55%,96.55%,28.57%,17.86%,0.00,0,91.89%,8.11%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1998,Sutter Union High,Sutter County,NC,NC,93.75%,93.75%,NC,NC,0.00,0,59.65%,15.79%,1.75%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1999,Sweetwater Secondary,El Dorado County Charter,NC,0.00%,100.00%,100.00%,NC,NC,0.00,0,95.74%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
2000,Sweetwater Union High,South County,69.66%,2.50%,93.40%,92.54%,16.57%,7.27%,0.17,0,49.73%,18.15%,4.37%,NC,NC,NC,NC,NC,NC,NC,NC,99.84%,0,0,100.00%,NC,100.00%,54.35%,75.20%,97.36%
2001,Sycamore Academy of Science and Cultural Arts,El Dorado County Charter,NC,NC,93.44%,93.44%,10.53%,10.53%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,1,1,NC,NC,NC,NC,NC,NC
2002,Sycamore Valley Academy,Tulare County,NC,NC,92.00%,92.00%,26.09%,26.09%,0.00,0,93.94%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
2003,Sylmar Charter High,Los Angeles Unified,76.67%,39.00%,97.56%,97.56%,10.00%,2.50%,0.00,0,47.32%,14.15%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.07%,NC,NC,NC,NC,100.00%,73.81%,73.81%,80.95%
2004,Sylvan Union Elementary,Stanislaus County,NC,NC,98.56%,98.08%,19.56%,16.85%,NC,0,62.94%,24.27%,2.27%,27.87%,59.56%,NC,82.35%,NC,77.14%,NC,80.00%,99.93%,0,1,100.00%,97.06%,NC,NC,NC,NC
2005,Synergy Charter Academy,Los Angeles Unified,NC,NC,100.00%,100.00%,16.67%,8.33%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
2006,Synergy Kinetic Academy,Los Angeles Unified,NC,NC,100.00%,100.00%,13.56%,6.78%,0.00,0,96.49%,1.75%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
2007,Synergy Quantum Academy,Los Angeles Unified,NC,NC,100.00%,93.33%,NC,NC,0.00,0,85.29%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.77%,NC,NC,NC,NC,100.00%,NC,NC,NC
2008,TEACH Academy of Technologies,Los Angeles Unified,NC,NC,100.00%,97.30%,5.41%,2.78%,0.00,0,97.22%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
2009,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,Los Angeles Unified,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
2010,TEACH Tech Charter High,Los Angeles Unified,NC,NC,87.50%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC
2011,TEAM Charter,Stockton City Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,96.97%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,97.83%,NC,NC,NC,NC,NC,NC,NC,NC
2012,Taft Charter High,Los Angeles Unified,84.93%,30.69%,98.28%,98.28%,17.54%,5.26%,0.00,0,48.18%,13.50%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.13%,NC,NC,NC,NC,100.00%,69.84%,69.84%,82.54%
2013,Taft City,Kern County Consortium,NC,NC,99.56%,99.13%,9.21%,8.37%,0.00,0,66.78%,15.64%,0.98%,47.17%,32.08%,NC,NC,NC,NC,NC,NC,99.78%,0,0,100.00%,NC,NC,NC,NC,NC
2014,Taft Union High,Kern County Consortium,66.67%,0.00%,92.59%,92.59%,0.00%,0.00%,0.00,0,37.50%,15.83%,1.67%,NC,NC,NC,NC,NC,NC,NC,NC,99.24%,0,0,NC,NC,100.00%,NC,NC,NC
2015,Tahoe-Truckee Unified,Placer County,65.85%,9.52%,95.13%,94.48%,20.48%,15.81%,0.00,0,66.09%,10.22%,0.87%,53.13%,0.00%,NC,NC,NC,NC,NC,NC,98.99%,0,0,100.00%,NC,100.00%,NC,NC,NC
2016,Tamalpais Union High,Marin County,83.97%,0.57%,82.27%,81.56%,35.34%,17.39%,0.82,1,62.72%,12.01%,6.48%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,NC,100.00%,NC,NC,NC
2017,Taylion High Desert Academy/Adelanto,Desert/Mountain Charter,NC,3.23%,88.89%,88.89%,NC,NC,0.00,0,97.96%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,97.33%,0,0,NC,NC,100.00%,NC,NC,NC
2018,Team Charter Academy,Stockton City Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
2019,Tehachapi Unified,Kern County Consortium,73.17%,0.00%,96.52%,96.52%,9.91%,5.11%,1.22,0,46.42%,12.64%,1.70%,15.63%,43.75%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,32.14%,57.14%,89.29%
2020,Tehama County Department of Education,Tehama County,NC,NC,80.00%,80.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,86.21%,NC,75.86%,NC,86.21%,NC,0,0,100.00%,NC,100.00%,NC,NC,NC
2021,Tehama eLearning Academy,Tehama County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,66.67%,30.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
2022,Temecula International Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
2023,Temecula Preparatory,El Dorado County Charter,NC,NC,100.00%,100.00%,27.91%,13.95%,0.00,0,53.75%,10.00%,1.25%,NC,NC,NC,NC,NC,NC,NC,NC,95.65%,0,0,NC,NC,NC,NC,NC,NC
2024,Temecula Valley Charter,El Dorado County Charter,NC,NC,98.33%,98.33%,25.42%,10.17%,0.00,0,75.38%,3.08%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.77%,0,0,NC,NC,NC,NC,NC,NC
2025,Temecula Valley Unified,Temecula Valley Unified,75.43%,1.94%,93.21%,92.59%,27.03%,20.22%,0.26,0,51.88%,17.59%,1.21%,52.35%,45.19%,NC,89.47%,NC,91.58%,NC,89.01%,99.31%,1,6,100.00%,100.00%,100.00%,51.28%,53.85%,97.44%
2026,Temple City Unified,West San Gabriel Valley,84.78%,NC,94.79%,95.09%,26.86%,21.61%,0.00,0,44.90%,25.51%,2.04%,23.08%,50.00%,NC,NC,NC,NC,NC,NC,100.00%,0,2,100.00%,NC,98.06%,NC,NC,NC
2027,Templeton Unified,San Luis Obispo County,80.95%,0.00%,95.65%,95.65%,25.00%,13.64%,0.93,0,66.67%,9.52%,2.38%,95.00%,5.00%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
2028,Terra Bella Union Elementary,Tulare County,NC,NC,100.00%,98.11%,5.66%,1.92%,0.00,0,86.30%,8.22%,1.37%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
2029,The Academy of Alameda,Sonoma County Charter,NC,NC,95.52%,95.52%,14.06%,14.06%,0.00,0,93.85%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
2030,The Academy of Alameda Elementary,Sonoma County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
2031,The City,Los Angeles Unified,NC,NC,96.61%,83.05%,33.33%,30.61%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
