,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,LEA-old,LEA,_merge
190,West Linn-Wilsonville SD 3J,1072.0,89.09,73.0,1.77,10.6,No ,No ,No ,No ,81.48,1.72,13170,013170,both
191,Willamina SD 30J,146.0,82.88,73.0,2.05,10.6,No ,No ,No ,No ,75.0,1.64,13350,013350,both
192,Winston-Dillard SD 116,173.0,63.01,73.0,15.03,10.6,No ,No ,No ,No ,40.0,9.52,13490,013490,both
193,Woodburn SD 103,821.0,82.34,73.0,10.11,10.6,Yes,No ,No ,No ,76.0,1.67,13530,013530,both
194,Yamhill Carlton SD 1,119.0,75.63,73.0,11.76,10.6,No ,No ,No ,No ,84.62,0.0,16,000016,both
195,Yoncalla SD 32,28.0,75.0,73.0,14.29,10.6,No ,No ,No ,No ,33.33,16.67,13650,013650,both
198,McDermitt SD 51,,,,,,,,,,,,7880,007880,right_only
200,Lakeview SD 7,,,,,,,,,,,,7280,007280,right_only
214,Days Creek SD 15,,,,,,,,,,,,3960,003960,right_only
224,Roseburg SD 4,,,,,,,,,,,,10710,010710,right_only
